Parent/Guardian,Household Structure,Number of Children,Income Level,Occupation,Work Hours,Evening Childcare Available,Evening Childcare Type,Daycare Closing Time,Emergency Childcare Use,Emergency Childcare Reason,Childcare Needs Beyond Regular Hours,Most Important Features in Childcare,Willingness to Pay Per Hour,Interest in After-Hours Childcare
Parent,Single,2,Below $30K,Self-Employed,Flexible/Remote,Yes,Daycare,6 PM,Yes,Last-Minute Emergency,Rarely,"['Qualified Staff', 'Affordability', 'Safety', 'Education', 'Flexibility']",$5-$10,Yes
Guardian,Two adult household,2,Below $30K,Manufacturing,Shift Work (Rotating),No,Babysitter,7 PM,No,Unavailable Services,Rarely,"['Qualified Staff', 'Affordability', 'Safety', 'Flexibility', 'Education']",$5-$10,Yes
Guardian,Married,2,Below $30K,IT/Tech,Flexible/Remote,No,Babysitter,5 PM,Yes,Unavailable Services,Very Often,"['Qualified Staff', 'Affordability', 'Safety', 'Education', 'Flexibility']",Above $20,Yes
Parent,Single,1,$50K-$75K,Education,Shift Work (Rotating),No,None,6 PM,No,Unavailable Services,Often,"['Affordability', 'Qualified Staff', 'Safety', 'Flexibility', 'Education']",$5-$10,Yes
Parent,Extended family living together,1,$75K-$100K,Manufacturing,9 AM - 5 PM,No,Family/Friend,6 PM,Yes,Unavailable Services,Sometimes,"['Safety', 'Qualified Staff', 'Education', 'Affordability', 'Flexibility']",$15-$20,Yes
Parent,Two adult household,2,Below $30K,Self-Employed,Shift Work (Rotating),No,Family/Friend,5 PM,Yes,Unavailable Services,Often,"['Safety', 'Flexibility', 'Qualified Staff', 'Education', 'Affordability']",$10-$15,No
Parent,Married,3,Below $30K,Education,9 AM - 5 PM,Yes,Babysitter,6 PM,No,Last-Minute Emergency,Often,"['Safety', 'Qualified Staff', 'Flexibility', 'Education', 'Affordability']",$5-$10,Yes
Guardian,Single,1,$75K-$100K,Self-Employed,Evening/Night Shifts,No,Family/Friend,7 PM,No,Last-Minute Emergency,Rarely,"['Flexibility', 'Safety', 'Affordability', 'Qualified Staff', 'Education']",$10-$15,Yes
Other,Single,2,$30K-$50K,Education,Flexible/Remote,No,Family/Friend,5 PM,No,Last-Minute Emergency,Rarely,"['Flexibility', 'Safety', 'Qualified Staff', 'Affordability', 'Education']",$10-$15,Yes
Parent,Married,2,$30K-$50K,Retail,Evening/Night Shifts,No,Babysitter,7 PM,No,Unavailable Services,Often,"['Education', 'Qualified Staff', 'Affordability', 'Safety', 'Flexibility']",$15-$20,No
Parent,Extended family living together,1,$30K-$50K,Healthcare,9 AM - 5 PM,No,Daycare,5 PM,Yes,Last-Minute Emergency,Sometimes,"['Qualified Staff', 'Safety', 'Education', 'Flexibility', 'Affordability']",$10-$15,Yes
